,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
0,0.0,1.0,0.0,0.0,-0.5,-0.5
1,0.030175926,0.58205,0.41794997,0.030175926,-0.5,-0.49999988
2,0.031527776,0.5757333,0.4242667,0.031527776,-0.49999988,-0.49999976
3,0.03214815,0.5732167,0.42678332,0.03214815,-0.49999976,-0.49999964
4,0.03255741,0.57158333,0.42841667,0.03255741,-0.49999964,-0.49999952
5,0.032885186,0.57063335,0.42936665,0.032885186,-0.49999952,-0.4999994
6,0.03312963,0.5693833,0.43061668,0.03312963,-0.4999994,-0.49999928
7,0.033344444,0.56853336,0.43146664,0.033344444,-0.49999928,-0.49999917
8,0.033524074,0.56775,0.43225002,0.033524074,-0.49999917,-0.49999905
9,0.033705555,0.5671167,0.43288332,0.033705555,-0.49999905,-0.49999893
10,0.033844445,0.56651664,0.43348336,0.033844445,-0.49999893,-0.4999988
11,0.03396111,0.5661333,0.43386668,0.03396111,-0.4999988,-0.4999987
12,0.034088887,0.5657833,0.43421668,0.034088887,-0.4999987,-0.49999857
13,0.034181483,0.5653667,0.4346333,0.034181483,-0.49999857,-0.49999845
14,0.034285184,0.5649833,0.4350167,0.034285184,-0.49999845,-0.49999833
15,0.034385186,0.56458336,0.43541664,0.034385186,-0.49999833,-0.4999982
16,0.03450185,0.56423336,0.43576664,0.03450185,-0.4999982,-0.4999981
17,0.03457963,0.5639833,0.43601668,0.03457963,-0.4999981,-0.49999797
18,0.034653705,0.5636333,0.43636668,0.034653705,-0.49999797,-0.49999785
19,0.034738887,0.5632667,0.4367333,0.034738887,-0.49999785,-0.49999774
20,0.034824073,0.563,0.43699998,0.034824073,-0.49999774,-0.49999762
21,0.03488889,0.56265,0.43734998,0.03488889,-0.49999762,-0.4999975
22,0.034953702,0.56221664,0.43778336,0.034953702,-0.4999975,-0.49999738
23,0.035007406,0.56203336,0.43796664,0.035007406,-0.49999738,-0.49999726
24,0.03507037,0.5618,0.4382,0.03507037,-0.49999726,-0.49999714
25,0.035124075,0.5617,0.4383,0.035124075,-0.49999714,-0.49999702
26,0.03516111,0.56158334,0.43841666,0.03516111,-0.49999702,-0.4999969
27,0.035211112,0.5613667,0.43863332,0.035211112,-0.4999969,-0.49999678
28,0.035264816,0.5612,0.43879998,0.035264816,-0.49999678,-0.49999666
29,0.035314813,0.5610667,0.4389333,0.035314813,-0.49999666,-0.49999654
30,0.035353705,0.56093335,0.43906665,0.035353705,-0.49999654,-0.49999642
31,0.035396297,0.5607333,0.43926668,0.035396297,-0.49999642,-0.4999963
32,0.035457406,0.56053334,0.43946666,0.035457406,-0.4999963,-0.4999962
33,0.035522223,0.5603667,0.4396333,0.035522223,-0.4999962,-0.49999607
34,0.035577778,0.56025,0.43975002,0.035577778,-0.49999607,-0.49999595
35,0.03560741,0.56005,0.43995,0.03560741,-0.49999595,-0.49999583
36,0.035642594,0.55985,0.44015002,0.035642594,-0.49999583,-0.4999957
37,0.03569259,0.55973333,0.44026667,0.03569259,-0.4999957,-0.4999956
38,0.03574074,0.5596167,0.44038332,0.03574074,-0.4999956,-0.49999547
39,0.035775926,0.55948335,0.44051665,0.035775926,-0.49999547,-0.49999535
40,0.03580741,0.5592667,0.4407333,0.03580741,-0.49999535,-0.49999523
41,0.03582778,0.55913335,0.44086665,0.03582778,-0.49999523,-0.4999951
42,0.03585,0.55903333,0.44096667,0.03585,-0.4999951,-0.499995
43,0.035875928,0.5589333,0.44106668,0.035875928,-0.499995,-0.49999487
44,0.035901852,0.55885,0.44115,0.035901852,-0.49999487,-0.49999475
45,0.03593889,0.55873334,0.44126666,0.03593889,-0.49999475,-0.49999464
46,0.03598333,0.5586333,0.44136667,0.03598333,-0.49999464,-0.49999452
47,0.03600926,0.5585167,0.44148332,0.03600926,-0.49999452,-0.4999944
48,0.036046296,0.55838335,0.44161665,0.036046296,-0.4999944,-0.49999428
49,0.03607778,0.5582833,0.44171667,0.03607778,-0.49999428,-0.49999416
50,0.03609074,0.55815,0.44185,0.03609074,-0.49999416,-0.49999404
51,0.03612222,0.55805,0.44195002,0.03612222,-0.49999404,-0.49999392
52,0.036146298,0.55791664,0.44208336,0.036146298,-0.49999392,-0.4999938
53,0.03618148,0.55773336,0.44226664,0.03618148,-0.4999938,-0.49999368
54,0.03620926,0.55765,0.44234997,0.03620926,-0.49999368,-0.49999356
55,0.03623889,0.5576,0.44239998,0.03623889,-0.49999356,-0.49999344
56,0.036262963,0.5575,0.4425,0.036262963,-0.49999344,-0.49999332
57,0.036287036,0.5574167,0.44258332,0.036287036,-0.49999332,-0.4999932
58,0.03630185,0.55735,0.44265002,0.03630185,-0.4999932,-0.4999931
59,0.03632963,0.55721664,0.44278336,0.03632963,-0.4999931,-0.49999297
60,0.036353704,0.55715,0.44285,0.036353704,-0.49999297,-0.49999285
61,0.03637037,0.557,0.44300002,0.03637037,-0.49999285,-0.49999273
62,0.036387037,0.55688334,0.44311666,0.036387037,-0.49999273,-0.4999926
63,0.03641852,0.55681664,0.44318336,0.03641852,-0.4999926,-0.4999925
64,0.036435187,0.5567333,0.4432667,0.036435187,-0.4999925,-0.49999237
65,0.036448147,0.5566667,0.44333333,0.036448147,-0.49999237,-0.49999225
66,0.03646111,0.55658334,0.44341666,0.03646111,-0.49999225,-0.49999213
67,0.036487035,0.55646664,0.44353336,0.036487035,-0.49999213,-0.499992
68,0.036518518,0.5564333,0.44356668,0.036518518,-0.499992,-0.4999919
69,0.036533333,0.5564,0.4436,0.036533333,-0.4999919,-0.49999177
70,0.036546297,0.5563,0.44370002,0.036546297,-0.49999177,-0.49999166
71,0.036561113,0.55626667,0.44373333,0.036561113,-0.49999166,-0.49999154
72,0.036575925,0.5562,0.44379997,0.036575925,-0.49999154,-0.49999142
73,0.03659259,0.5560667,0.4439333,0.03659259,-0.49999142,-0.4999913
74,0.036625925,0.5559833,0.4440167,0.036625925,-0.4999913,-0.49999118
75,0.03664074,0.55588335,0.44411665,0.03664074,-0.49999118,-0.49999106
76,0.036655556,0.55581665,0.44418335,0.036655556,-0.49999106,-0.49999094
77,0.036664814,0.55576664,0.44423336,0.036664814,-0.49999094,-0.49999082
78,0.03667963,0.5557,0.4443,0.03667963,-0.49999082,-0.4999907
79,0.03668889,0.5556667,0.4443333,0.03668889,-0.4999907,-0.49999058
