,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
0,0.0,1.0,0.0,0.0,-0.5,-0.5
1,0.059385184,0.95818335,0.04181665,0.059385184,-0.5,-0.49999988
2,0.06147037,0.9555333,0.044466674,0.06147037,-0.49999988,-0.49999976
3,0.06256481,0.9542,0.04579997,0.06256481,-0.49999976,-0.49999964
4,0.06330926,0.95353335,0.04646665,0.06330926,-0.49999964,-0.49999952
5,0.06381296,0.95308334,0.046916664,0.06381296,-0.49999952,-0.4999994
6,0.064272225,0.9525833,0.047416687,0.064272225,-0.4999994,-0.49999928
7,0.0646,0.9522333,0.047766685,0.0646,-0.49999928,-0.49999917
8,0.06489629,0.95176667,0.04823333,0.06489629,-0.49999917,-0.49999905
9,0.06516667,0.9515333,0.048466682,0.06516667,-0.49999905,-0.49999893
10,0.065416664,0.95121664,0.048783362,0.065416664,-0.49999893,-0.4999988
11,0.06563148,0.95095,0.049049973,0.06563148,-0.4999988,-0.4999987
12,0.06580741,0.9508167,0.04918331,0.06580741,-0.4999987,-0.49999857
13,0.06597407,0.95066667,0.049333334,0.06597407,-0.49999857,-0.49999845
14,0.06613704,0.9505,0.04949999,0.06613704,-0.49999845,-0.49999833
15,0.0663037,0.95028335,0.04971665,0.0663037,-0.49999833,-0.4999982
16,0.06645556,0.9500667,0.049933314,0.06645556,-0.4999982,-0.4999981
17,0.066594444,0.94996667,0.05003333,0.066594444,-0.4999981,-0.49999797
18,0.066714816,0.94983333,0.050166667,0.066714816,-0.49999797,-0.49999785
19,0.066857405,0.9496667,0.05033332,0.066857405,-0.49999785,-0.49999774
20,0.06699074,0.9496,0.05040002,0.06699074,-0.49999774,-0.49999762
21,0.06709815,0.94946665,0.050533354,0.06709815,-0.49999762,-0.4999975
22,0.06718703,0.94935,0.05065,0.06718703,-0.4999975,-0.49999738
23,0.067266665,0.9492667,0.050733328,0.067266665,-0.49999738,-0.49999726
24,0.06737407,0.94916666,0.050833344,0.06737407,-0.49999726,-0.49999714
25,0.06745741,0.9491,0.050899982,0.06745741,-0.49999714,-0.49999702
26,0.06753889,0.94905,0.05094999,0.06753889,-0.49999702,-0.4999969
27,0.067614816,0.9489,0.051100016,0.067614816,-0.4999969,-0.49999678
28,0.0677037,0.94885,0.051150024,0.0677037,-0.49999678,-0.49999666
29,0.06778333,0.94876665,0.05123335,0.06778333,-0.49999666,-0.49999654
30,0.06786481,0.94865,0.051349998,0.06786481,-0.49999654,-0.49999642
31,0.06793518,0.94855,0.051450014,0.06793518,-0.49999642,-0.4999963
32,0.068005554,0.94845,0.05154997,0.068005554,-0.4999963,-0.4999962
33,0.068085186,0.94835,0.051649988,0.068085186,-0.4999962,-0.49999607
34,0.06815556,0.9482833,0.051716685,0.06815556,-0.49999607,-0.49999595
35,0.06820556,0.9482,0.051800013,0.06820556,-0.49999595,-0.49999583
36,0.06826481,0.9481,0.05190003,0.06826481,-0.49999583,-0.4999957
37,0.068333335,0.94808334,0.05191666,0.068333335,-0.4999957,-0.4999956
38,0.06837963,0.9479333,0.052066684,0.06837963,-0.4999956,-0.49999547
39,0.06843704,0.94785,0.05215001,0.06843704,-0.49999547,-0.49999535
40,0.06848889,0.9478,0.05220002,0.06848889,-0.49999535,-0.49999523
41,0.068561114,0.94768333,0.052316666,0.068561114,-0.49999523,-0.4999951
42,0.068627775,0.9476167,0.052383304,0.068627775,-0.4999951,-0.499995
43,0.06868148,0.9475167,0.05248332,0.06868148,-0.499995,-0.49999487
44,0.06871111,0.9475,0.05250001,0.06871111,-0.49999487,-0.49999475
45,0.06877222,0.94743335,0.052566648,0.06877222,-0.49999475,-0.49999464
46,0.06881111,0.9474,0.052600026,0.06881111,-0.49999464,-0.49999452
47,0.06884259,0.94733334,0.052666664,0.06884259,-0.49999452,-0.4999944
48,0.068885185,0.9473,0.052699983,0.068885185,-0.4999944,-0.49999428
49,0.06894259,0.94725,0.05274999,0.06894259,-0.49999428,-0.49999416
50,0.06898333,0.9472333,0.05276668,0.06898333,-0.49999416,-0.49999404
51,0.06903333,0.94713336,0.052866638,0.06903333,-0.49999404,-0.49999392
52,0.06907963,0.94706666,0.052933335,0.06907963,-0.49999392,-0.4999938
53,0.06911667,0.94701666,0.052983344,0.06911667,-0.4999938,-0.49999368
54,0.069153704,0.947,0.052999973,0.069153704,-0.49999368,-0.49999356
55,0.06918518,0.94696665,0.053033352,0.06918518,-0.49999356,-0.49999344
56,0.06922592,0.9469,0.05309999,0.06922592,-0.49999344,-0.49999332
57,0.06927592,0.9468333,0.053166687,0.06927592,-0.49999332,-0.4999932
58,0.06932037,0.9467667,0.053233325,0.06932037,-0.4999932,-0.4999931
59,0.06936296,0.94671667,0.053283334,0.06936296,-0.4999931,-0.49999297
60,0.06940185,0.94665,0.05334997,0.06940185,-0.49999297,-0.49999285
61,0.06944445,0.9466,0.05339998,0.06944445,-0.49999285,-0.49999273
62,0.069481485,0.94656664,0.05343336,0.069481485,-0.49999273,-0.4999926
63,0.06951296,0.94655,0.05344999,0.06951296,-0.4999926,-0.4999925
64,0.069551855,0.94655,0.05344999,0.069551855,-0.4999925,-0.49999237
65,0.06958889,0.9465333,0.053466678,0.06958889,-0.49999237,-0.49999225
66,0.06962222,0.9464333,0.053566694,0.06962222,-0.49999225,-0.49999213
67,0.06966852,0.94638336,0.053616643,0.06966852,-0.49999213,-0.499992
68,0.069714814,0.94636667,0.053633332,0.069714814,-0.499992,-0.4999919
69,0.06973889,0.94628334,0.05371666,0.06973889,-0.4999919,-0.49999177
70,0.069775924,0.94626665,0.05373335,0.069775924,-0.49999177,-0.49999166
71,0.0698,0.94623333,0.053766668,0.0698,-0.49999166,-0.49999154
72,0.06983333,0.9461833,0.053816676,0.06983333,-0.49999154,-0.49999142
73,0.06986296,0.94615,0.053849995,0.06986296,-0.49999142,-0.4999913
74,0.06987963,0.9461,0.053900003,0.06987963,-0.4999913,-0.49999118
75,0.06992593,0.9460667,0.053933322,0.06992593,-0.49999118,-0.49999106
76,0.06994259,0.94605,0.05395001,0.06994259,-0.49999106,-0.49999094
77,0.06996852,0.94605,0.05395001,0.06996852,-0.49999094,-0.49999082
78,0.069992594,0.94598335,0.05401665,0.069992594,-0.49999082,-0.4999907
79,0.07002407,0.94596666,0.05403334,0.07002407,-0.4999907,-0.49999058
80,0.07005,0.94593334,0.054066658,0.07005,-0.49999058,-0.49999046
81,0.07006667,0.94585,0.054149985,0.07006667,-0.49999046,-0.49999034
82,0.070103705,0.9458333,0.054166675,0.070103705,-0.49999034,-0.49999022
83,0.070124075,0.9458,0.054199994,0.070124075,-0.49999022,-0.4999901
84,0.070153706,0.9457667,0.054233313,0.070153706,-0.4999901,-0.49999
85,0.070194446,0.9457333,0.05426669,0.070194446,-0.49999,-0.49998987
86,0.07022037,0.9457,0.05430001,0.07022037,-0.49998987,-0.49998975
87,0.07023704,0.9456667,0.05433333,0.07023704,-0.49998975,-0.49998963
88,0.07028148,0.9456667,0.05433333,0.07028148,-0.49998963,-0.4999895
89,0.07030185,0.94563335,0.05436665,0.07030185,-0.4999895,-0.4999894
90,0.070337035,0.94556665,0.054433346,0.070337035,-0.4999894,-0.49998927
91,0.07036852,0.94555,0.054449975,0.07036852,-0.49998927,-0.49998915
92,0.07039074,0.94555,0.054449975,0.07039074,-0.49998915,-0.49998903
93,0.070422225,0.9455,0.054499984,0.070422225,-0.49998903,-0.4999889
94,0.07043704,0.9454833,0.054516673,0.07043704,-0.4999889,-0.4999888
95,0.070472226,0.9454833,0.054516673,0.070472226,-0.4999888,-0.49998868
96,0.07048889,0.9454167,0.05458331,0.07048889,-0.49998868,-0.49998856
97,0.07052037,0.9453667,0.05463332,0.07052037,-0.49998856,-0.49998844
98,0.0705426,0.94533336,0.05466664,0.0705426,-0.49998844,-0.49998832
99,0.070564814,0.94533336,0.05466664,0.070564814,-0.49998832,-0.4999882
100,0.07059259,0.9453,0.054700017,0.07059259,-0.4999882,-0.49998808
101,0.07061852,0.94525,0.054750025,0.07061852,-0.49998808,-0.49998796
102,0.07063889,0.9452,0.054799974,0.07063889,-0.49998796,-0.49998784
103,0.07066296,0.94516665,0.054833353,0.07066296,-0.49998784,-0.49998772
104,0.07067963,0.9451,0.05489999,0.07067963,-0.49998772,-0.4999876
105,0.07070185,0.9450833,0.05491668,0.07070185,-0.4999876,-0.49998748
106,0.07071852,0.9450667,0.05493331,0.07071852,-0.49998748,-0.49998736
107,0.07073333,0.9450333,0.05496669,0.07073333,-0.49998736,-0.49998724
108,0.07076482,0.9450167,0.054983318,0.07076482,-0.49998724,-0.49998713
109,0.0708,0.945,0.055000007,0.0708,-0.49998713,-0.499987
110,0.070827775,0.9449667,0.055033326,0.070827775,-0.499987,-0.4999869
111,0.07085556,0.94491667,0.055083334,0.07085556,-0.4999869,-0.49998677
112,0.07086852,0.9449,0.055100024,0.07086852,-0.49998677,-0.49998665
